Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price_per_Room,Year_sold
Abbotsford,47 Studley St,2,h,1180000,S,Jellis,11/27/2016,2.5,3067,2,1,0,162,Yarra,-37.8016,144.9956,Northern Metropolitan,4019,590000,2016
Abbotsford,45 Yarra St,3,h,1195000,SP,Jellis,11/27/2016,2.5,3067,3,2,1,120,Yarra,-37.8022,144.9954,Northern Metropolitan,4019,398333.3333,2016
Abbotsford,200 Nicholson St,2,h,1012500,S,Nelson,5/28/2016,2.5,3067,2,1,0,182,Yarra,-37.8021,144.9976,Northern Metropolitan,4019,506250,2016
Abbotsford,27 Charles St,2,h,1030000,S,Biggin,7/30/2016,2.5,3067,2,1,1,172,Yarra,-37.8086,144.9946,Northern Metropolitan,4019,515000,2016
Airport West,154 Halsey Rd,3,t,840000,PI,Nelson,9/3/2016,13.5,3042,3,2,1,303,Moonee Valley,-37.718,144.878,Western Metropolitan,3464,280000,2016
Airport West,50 Bedford St,3,h,730000,VB,Nelson,12/3/2016,13.5,3042,3,2,1,0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464,243333.3333,2016
Airport West,50 Bedford St,3,h,770000,SP,Nelson,3/4/2017,13.5,3042,3,2,1,0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464,256666.6667,2017
Airport West,23 Hart St,2,h,603000,S,Nelson,3/4/2017,13.5,3042,2,1,1,272,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464,301500,2017
Airport West,1/80 Hawker St,3,t,700000,S,Brad,3/4/2017,13.5,3042,3,2,2,239,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464,233333.3333,2017
Airport West,1/37 Hillside Gr,3,h,600000,S,Maddison,3/4/2017,13.5,3042,2,1,1,290,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464,200000,2017
Airport West,2/49 McIntosh St,2,u,500000,VB,Barry,3/4/2017,13.5,3042,2,1,1,168,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464,250000,2017
Airport West,54 Marshall Rd,3,h,720000,S,Barry,8/6/2016,13.5,3042,2,1,1,620,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464,240000,2016
Airport West,36 Roberts Rd,4,h,785000,S,Considine,8/6/2016,13.5,3042,3,1,2,597,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464,196250,2016
Airport West,11 Harrington Rd,6,h,725000,SP,Barry,5/7/2016,13.5,3042,6,3,2,976,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464,120833.3333,2016
Airport West,2/252 Parer Rd,2,t,450000,S,Barry,5/7/2016,13.5,3042,2,1,1,110,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464,225000,2016
Airport West,3/19 Hart St,2,u,515000,S,Barry,11/7/2016,13.5,3042,2,1,1,141,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464,257500,2016
Airport West,2/62 Clydesdale Rd,2,u,530000,S,Nelson,9/10/2016,13.5,3042,2,1,1,120,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464,265000,2016
Airport West,3 Deidre Ct,3,h,895000,PI,Rendina,9/10/2016,13.5,3042,3,1,6,1063,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464,298333.3333,2016
Airport West,13 Etzel St,3,h,805000,S,Nelson,12/10/2016,13.5,3042,3,1,1,0,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464,268333.3333,2016
Airport West,1/43 Cameron St,3,u,752000,S,Nelson,2/11/2017,13.5,3042,3,1,1,265,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464,250666.6667,2017
Airport West,145a Victory Rd,2,u,440000,S,Barry,8/13/2016,13.5,3042,2,1,1,192,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464,220000,2016
Airport West,241 Parer Rd,5,h,755000,PI,Propertyau,5/14/2016,13.5,3042,3,2,2,596,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464,151000,2016
Airport West,2/40 Earl St,3,t,700000,PI,Brad,10/15/2016,13.5,3042,3,2,2,165,Moonee Valley,-37.727,144.887,Western Metropolitan,3464,233333.3333,2016
Airport West,180 Parer Rd,3,h,830000,S,Barry,4/16/2016,13.5,3042,3,1,2,971,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464,276666.6667,2016
Airport West,4/54 Hawker St,2,u,462500,S,Barry,7/16/2016,13.5,3042,2,1,1,164,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464,231250,2016
Airport West,43 Hillside Gr,3,h,670000,SP,Barry,7/16/2016,13.5,3042,3,2,2,657,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464,223333.3333,2016
Airport West,174 Parer Rd,2,h,675000,S,Barry,7/16/2016,13.5,3042,2,1,1,612,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464,337500,2016
Airport West,138 Victory Rd,3,h,1042000,S,Nelson,7/16/2016,13.5,3042,3,2,5,612,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464,347333.3333,2016
Airport West,75 King St,3,h,910000,S,McDonald,9/17/2016,13.5,3042,3,1,1,775,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464,303333.3333,2016
Airport West,6 Kittyhawk St,4,h,773000,S,Brad,9/17/2016,13.5,3042,5,3,4,531,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464,193250,2016
Airport West,478 Fullarton Rd,3,h,810000,PI,Barry,3/18/2017,13.5,3042,3,3,2,555,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464,270000,2017
Airport West,144 Marshall Rd,3,h,715000,S,Rendina,3/18/2017,13.5,3042,3,2,2,422,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464,238333.3333,2017
Airport West,106 Parer Rd,3,h,790000,S,Nelson,3/18/2017,13.5,3042,3,1,3,614,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464,263333.3333,2017
Airport West,3/7 South Rd,3,t,540000,SP,Nelson,6/18/2016,13.5,3042,2,2,1,161,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464,180000,2016
Airport West,37 North St,3,t,825000,SP,Barry,11/19/2016,13.5,3042,3,2,1,293,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464,275000,2016
Airport West,10 Hilbert Rd,3,h,685000,S,Barry,5/22/2016,13.5,3042,3,1,1,579,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464,228333.3333,2016
Airport West,110 Halsey Rd,3,h,805000,S,Barry,8/22/2016,13.5,3042,3,1,1,623,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464,268333.3333,2016
Airport West,2/13 North St,2,u,510000,S,Nelson,8/22/2016,13.5,3042,2,1,1,141,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464,255000,2016
Airport West,105a Victory Rd,3,h,612000,S,Nelson,8/22/2016,13.5,3042,3,2,1,212,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464,204000,2016
Airport West,117 Marshall Rd,3,h,662000,S,Brad,4/23/2016,13.5,3042,3,1,2,612,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464,220666.6667,2016
Airport West,34 Moorna Dr,4,h,978000,S,Nelson,9/24/2016,13.5,3042,4,3,2,532,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464,244500,2016
Airport West,33 North St,3,h,720000,PI,Nelson,2/25/2017,13.5,3042,3,1,1,585,Moonee Valley,-37.72,144.878,Western Metropolitan,3464,240000,2017
Airport West,49 Roberts Rd,4,h,765000,S,Prof.,11/27/2016,13.5,3042,4,1,2,509,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464,191250,2016
Airport West,85 Roberts Rd,4,h,900000,S,Harcourts,11/27/2016,13.5,3042,4,2,3,628,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464,225000,2016
Albert Park,105 Kerferd Rd,2,h,1275000,S,hockingstuart,9/3/2016,3.3,3206,2,1,0,120,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280,637500,2016
Albert Park,85 Richardson St,2,h,1455000,S,Thomson,9/3/2016,3.3,3206,2,1,0,159,Port Phillip,-37.845,144.9538,Southern Metropolitan,3280,727500,2016
Albert Park,112 Beaconsfield Pde,3,h,2850000,PI,Buxton,3/4/2017,3.3,3206,3,2,0,211,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280,950000,2017
Albert Park,94 Graham St,3,h,1850000,S,Greg,3/4/2017,3.3,3206,3,2,0,128,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280,616666.6667,2017
Albert Park,396 Montague St,2,h,1436000,S,RT,3/4/2017,3.3,3206,2,1,0,130,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280,718000,2017
Albert Park,75 Graham St,2,h,1110000,S,Marshall,8/6/2016,3.3,3206,1,1,0,147,Port Phillip,-37.8444,144.9484,Southern Metropolitan,3280,555000,2016
Albert Park,54 Brooke St,2,h,1550000,S,Sotheby's,5/7/2016,3.3,3206,2,1,1,167,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3280,775000,2016
Albert Park,104 Richardson St,4,h,2300000,S,Marshall,5/7/2016,3.3,3206,4,2,1,153,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280,575000,2016
Albert Park,4a Mills St,3,t,1550000,VB,Marshall,11/7/2016,3.3,3206,3,2,2,718,Port Phillip,-37.8443,144.9598,Southern Metropolitan,3280,516666.6667,2016
Albert Park,1 Moubray St,3,h,1800000,VB,Greg,11/7/2016,3.3,3206,3,2,1,132,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280,600000,2016
Albert Park,29 Faussett St,2,h,2120000,S,Greg,9/10/2016,3.3,3206,2,1,1,199,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280,1060000,2016
Albert Park,3 Herbert St,3,h,1800000,VB,Cayzer,9/10/2016,3.3,3206,3,1,1,253,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280,600000,2016
Albert Park,24 Kerferd Pl,3,h,1800000,S,Marshall,9/10/2016,3.3,3206,3,2,1,90,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280,600000,2016
Albert Park,44 Draper St,2,h,1810000,PI,Greg,12/10/2016,3.3,3206,2,1,0,240,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280,905000,2016
Albert Park,2 Dundas Pl,3,h,2615000,S,Cayzer,12/10/2016,3.3,3206,3,2,1,177,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280,871666.6667,2016
Albert Park,23 Finlay St,5,h,2100000,S,Greg,12/10/2016,3.3,3206,5,2,1,237,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3280,420000,2016
Albert Park,31 Richardson St,3,h,1300000,S,hockingstuart,12/10/2016,3.3,3206,3,1,0,129,Port Phillip,-37.8422,144.949,Southern Metropolitan,3280,433333.3333,2016
Albert Park,4a Gatehouse La,3,h,1370000,S,Greg,6/12/2016,3.3,3206,3,2,2,0,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280,456666.6667,2016
Albert Park,60 Brooke St,2,h,1000000,S,Cayzer,11/12/2016,3.3,3206,2,1,0,288,Port Phillip,-37.8407,144.9523,Southern Metropolitan,3280,500000,2016
Albert Park,70 Barrett St,3,h,2575000,S,Greg,10/15/2016,3.3,3206,3,2,1,228,Port Phillip,-37.8445,144.9501,Southern Metropolitan,3280,858333.3333,2016
Albert Park,65 Graham St,2,h,1322500,S,Greg,10/15/2016,3.3,3206,2,1,0,149,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280,661250,2016
Albert Park,364 Montague St,2,h,1562500,S,Greg,10/15/2016,3.3,3206,2,1,0,141,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280,781250,2016
Albert Park,86 Mills St,3,h,2000000,VB,RT,4/16/2016,3.3,3206,3,2,1,211,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280,666666.6667,2016
Albert Park,129 Kerferd Rd,3,h,1900000,S,Greg,3/18/2017,3.3,3206,3,1,0,209,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3280,633333.3333,2017
Albert Park,97 Page St,3,h,3010000,S,Greg,3/18/2017,3.3,3206,3,2,0,147,Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280,1003333.333,2017
Albert Park,55 Withers St,4,h,2800000,VB,Cayzer,6/18/2016,3.3,3206,4,3,1,327,Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280,700000,2016
Albert Park,10/140 Kerferd Rd,2,u,647000,S,Greg,5/22/2016,3.3,3206,2,1,1,0,Port Phillip,-37.846,144.9542,Southern Metropolitan,3280,323500,2016
Albert Park,55 Merton St,3,h,2100000,SP,Marshall,4/23/2016,3.3,3206,2,1,1,120,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280,700000,2016
Albert Park,49 Page St,3,h,2000000,PI,Marshall,9/24/2016,3.3,3206,3,1,1,238,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280,666666.6667,2016
Albert Park,13/52 Moubray St,1,u,442500,S,Marshall,2/25/2017,3.3,3206,1,1,0,0,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280,442500,2017
Albert Park,115 Page St,4,h,4735000,S,Marshall,2/25/2017,3.3,3206,4,2,1,330,Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280,1183750,2017
Albert Park,32 Page St,2,h,1340000,S,Greg,2/25/2017,3.3,3206,2,1,0,136,Port Phillip,-37.846,144.9517,Southern Metropolitan,3280,670000,2017
Albert Park,34 Richardson St,3,h,1801000,S,hockingstuart,2/25/2017,3.3,3206,3,1,1,202,Port Phillip,-37.8429,144.9493,Southern Metropolitan,3280,600333.3333,2017
Albert Park,2b Dundas Pl,3,h,1532000,S,Chisholm,7/26/2016,3.3,3206,3,3,1,0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280,510666.6667,2016
Albert Park,22 Greig St,3,h,3755000,S,Greg,7/26/2016,3.3,3206,3,2,2,325,Port Phillip,-37.8413,144.95,Southern Metropolitan,3280,1251666.667,2016
Albert Park,27 Barrett St,4,h,2140000,S,Greg,6/27/2016,3.3,3206,3,2,1,183,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280,535000,2016
Albert Park,44 Greig St,2,h,1750000,S,Marshall,11/27/2016,3.3,3206,2,1,1,162,Port Phillip,-37.8416,144.9488,Southern Metropolitan,3280,875000,2016
Albert Park,6 Brooke St,2,h,980000,S,Greg,5/28/2016,3.3,3206,2,1,0,79,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280,490000,2016
Albert Park,227a Danks St,3,h,2030000,S,hockingstuart,8/28/2016,3.3,3206,3,2,0,152,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3280,676666.6667,2016
Albert Park,17 Reed St,3,h,1740000,PI,Marshall,8/28/2016,3.3,3206,3,2,2,147,Port Phillip,-37.8448,144.9453,Southern Metropolitan,3280,580000,2016
Albert Park,74 Bridport St,3,h,2800000,VB,Buxton,7/30/2016,3.3,3206,3,3,1,0,Port Phillip,-37.8399,144.9577,Southern Metropolitan,3280,933333.3333,2016
Albert Park,9 Durham St,1,h,985000,S,Marshall,7/30/2016,3.3,3206,1,1,0,81,Port Phillip,-37.8411,144.9497,Southern Metropolitan,3280,985000,2016
Alphington,6 Smith St,4,h,2000000,S,Brace,9/3/2016,6.4,3078,3,2,4,853,Darebin,-37.7707,145.0318,Northern Metropolitan,2211,500000,2016
Alphington,5/6 Yarralea St,3,h,1110000,S,Jellis,9/3/2016,6.4,3078,3,2,2,208,Yarra,-37.7854,145.0325,Northern Metropolitan,2211,370000,2016
Alphington,136A Fulham Rd,3,h,1492000,S,Jellis,3/4/2017,6.4,3078,3,2,2,411,Darebin,-37.7713,145.0279,Northern Metropolitan,2211,497333.3333,2017
Alphington,44 Shiers St,4,h,1717500,S,Collins,10/8/2016,6.4,3078,4,2,1,599,Darebin,-37.7717,145.031,Northern Metropolitan,2211,429375,2016
Alphington,83 Fulham Rd,5,h,2840000,S,Nelson,6/12/2016,6.4,3078,5,4,4,809,Darebin,-37.775,145.0268,Northern Metropolitan,2211,568000,2016
Alphington,3/19 Harker St,2,u,525500,S,Miles,11/12/2016,6.4,3078,2,1,1,88,Darebin,-37.7791,145.0306,Northern Metropolitan,2211,262750,2016
Alphington,4/2 Miller St,2,t,805000,S,Miles,11/12/2016,6.4,3078,2,2,3,155,Darebin,-37.7804,145.0308,Northern Metropolitan,2211,402500,2016
Alphington,2/5 Yarana Rd,2,u,465000,S,McGrath,11/12/2016,6.4,3078,2,1,1,0,Darebin,-37.7773,145.0314,Northern Metropolitan,2211,232500,2016
Alphington,815 Heidelberg Rd,3,h,2000000,PI,hockingstuart,10/15/2016,6.4,3078,3,3,2,686,Darebin,-37.78,145.0341,Northern Metropolitan,2211,666666.6667,2016
Alphington,44 Naroon Rd,3,h,1540000,S,Nelson,4/16/2016,6.4,3078,3,1,2,592,Darebin,-37.7755,145.0288,Northern Metropolitan,2211,513333.3333,2016
Alphington,3/98 Grange Rd,2,u,820000,S,Nelson,3/18/2017,6.4,3078,2,1,1,183,Darebin,-37.7747,145.0264,Northern Metropolitan,2211,410000,2017
Alphington,10 Bennett St,4,h,1830000,S,Nelson,11/19/2016,6.4,3078,4,2,2,606,Darebin,-37.7743,145.0316,Northern Metropolitan,2211,457500,2016
Alphington,38 Bennett St,4,h,2100000,S,Nelson,11/19/2016,6.4,3078,4,2,2,575,Darebin,-37.7723,145.0319,Northern Metropolitan,2211,525000,2016
Alphington,2c Hamilton St,3,h,865000,SP,hockingstuart,5/22/2016,6.4,3078,3,1,1,180,Darebin,-37.7802,145.0243,Northern Metropolitan,2211,288333.3333,2016
Alphington,5/5 Yarana Rd,2,u,390000,VB,Nelson,5/22/2016,6.4,3078,2,1,1,0,Darebin,-37.7773,145.0314,Northern Metropolitan,2211,195000,2016
Alphington,7/7 Chandler Hwy,2,t,650000,SP,Brace,9/24/2016,6.4,3078,0,1,0,0,Yarra,-37.7848,145.025,Northern Metropolitan,2211,325000,2016
Alphington,1/14 Fulham Rd,2,u,512000,S,Love,2/25/2017,6.4,3078,2,1,1,0,Darebin,-37.7805,145.0262,Northern Metropolitan,2211,256000,2017
Alphington,22 Lowther St,3,h,1165000,S,Barry,6/27/2016,6.4,3078,3,1,2,979,Yarra,-37.7792,145.029,Northern Metropolitan,2211,388333.3333,2016
Alphington,11 Margaret Gr,4,h,1900000,SP,McGrath,11/27/2016,6.4,3078,4,2,2,556,Yarra,-37.7844,145.0225,Northern Metropolitan,2211,475000,2016
Alphington,6 Naroon Rd,3,h,1485000,SP,McGrath,8/28/2016,6.4,3078,3,0,0,597,Darebin,-37.7781,145.0284,Northern Metropolitan,2211,495000,2016
Alphington,42 Shiers St,4,h,1950000,S,Jellis,7/30/2016,6.4,3078,4,2,3,589,Darebin,-37.7719,145.0309,Northern Metropolitan,2211,487500,2016
Altona,158 Queen St,3,h,520000,VB,Greg,9/3/2016,13.8,3018,3,2,1,352,Hobsons Bay,-37.87,144.825,Western Metropolitan,5301,173333.3333,2016
Altona,59 Bracken Gr,5,h,1525000,S,Greg,12/3/2016,13.8,3018,5,3,3,729,Hobsons Bay,-37.8721,144.8105,Western Metropolitan,5301,305000,2016
Altona,1/123 Blyth St,2,t,720000,S,hockingstuart,2/4/2016,13.8,3018,2,1,2,292,Hobsons Bay,-37.8687,144.8197,Western Metropolitan,5301,360000,2016
Altona,4 Blyth St,3,h,1120000,S,Barlow,3/4/2017,13.8,3018,3,1,2,506,Hobsons Bay,-37.8693,144.8375,Western Metropolitan,5301,373333.3333,2017
Altona,20 Linnet St,4,h,780000,PI,Sweeney,6/4/2016,13.8,3018,4,1,4,655,Hobsons Bay,-37.868,144.8154,Western Metropolitan,5301,195000,2016
Altona,29 Rose St,4,h,1780000,SP,Greg,6/4/2016,13.8,3018,4,3,6,1057,Hobsons Bay,-37.8681,144.819,Western Metropolitan,5301,445000,2016
Altona,1/170 Blyth St,3,u,630000,S,Barlow,8/6/2016,13.8,3018,2,1,2,311,Hobsons Bay,-37.8702,144.8143,Western Metropolitan,5301,210000,2016
Altona,5/35 Grieve Pde,2,u,406000,SP,hockingstuart,8/6/2016,13.8,3018,2,1,1,65,Hobsons Bay,-37.8693,144.8171,Western Metropolitan,5301,203000,2016
Altona,156 Maidstone St,3,h,660000,VB,Greg,5/7/2016,13.8,3018,3,1,1,602,Hobsons Bay,-37.8616,144.8116,Western Metropolitan,5301,220000,2016
Altona,11 Keeshan Ct,3,h,683500,S,Greg,11/7/2016,13.8,3018,3,1,1,530,Hobsons Bay,-37.8594,144.817,Western Metropolitan,5301,227833.3333,2016
Altona,1/136 Queen St,2,u,580000,S,Barlow,10/8/2016,13.8,3018,2,1,1,225,Hobsons Bay,-37.8696,144.827,Western Metropolitan,5301,290000,2016
Altona,173 Queen St,3,h,1335000,S,hockingstuart,10/8/2016,13.8,3018,3,1,4,777,Hobsons Bay,-37.8697,144.8249,Western Metropolitan,5301,445000,2016
Altona,1/265 Queen St,3,t,800000,SP,hockingstuart,10/8/2016,13.8,3018,3,2,2,280,Hobsons Bay,-37.8734,144.8143,Western Metropolitan,5301,266666.6667,2016
Altona,3/26 Grieve Pde,2,u,510000,S,Village,9/10/2016,13.8,3018,2,1,1,127,Hobsons Bay,-37.8686,144.8182,Western Metropolitan,5301,255000,2016
Altona,261 Queen St,4,h,1070000,S,Barlow,9/10/2016,13.8,3018,4,2,2,695,Hobsons Bay,-37.8733,144.8147,Western Metropolitan,5301,267500,2016
